SA3_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
80101,27414,76352,3976,7615,2873,6816,6848,14435,1029,2036,913,1603,2305,4058,938,1735,40,101,5220,9527,0,0,0,0,0,0,0,0,0,0,34,90,39514,100404,2428,..,41945,100404
80103,233,550,34,49,22,45,53,98,61,87,3,5,0,0,0,0,0,0,66,94,44,66,105,181,0,0,4,5,157,247,8,24,515,1013,42,..,550,1013
80104,19651,62137,2428,5463,3668,9448,6098,14906,201,395,1329,2727,1748,3456,593,1216,10,16,3880,7807,0,3,0,0,0,0,0,12,3,14,53,113,29684,84972,1391,..,31074,84972
80105,9286,25580,1303,2584,2964,6436,4263,9024,1952,3218,2064,3494,2748,4645,3239,5532,72,152,10078,17043,0,0,0,0,0,0,0,9,0,7,39,79,23677,51729,2992,..,26661,51729
80106,5387,14798,447,835,1104,2273,1553,3110,919,1749,1581,2809,3506,5865,148,261,146,241,6309,10911,0,0,0,0,0,0,0,5,0,5,20,32,13258,28851,1576,..,14840,28851
80107,26178,72952,3388,6579,1322,2913,4708,9490,743,1467,200,343,549,905,459,755,43,99,1999,3572,0,0,0,0,0,0,0,0,0,0,22,47,32919,86057,1550,..,34465,86057
80108,7477,20394,954,1587,322,693,1276,2279,280,431,16,24,0,0,0,0,102,183,398,640,0,0,0,0,0,0,4,6,4,6,4,10,9154,23319,491,..,9646,23319
80109,8933,24785,1135,2134,1982,4159,3118,6300,356,663,1306,2517,777,1333,794,1434,29,65,3258,6011,0,0,0,0,0,0,0,0,0,0,16,29,15322,37125,1229,..,16555,37125
80110,1704,5705,95,227,902,2184,996,2408,80,175,343,732,1014,1936,33,60,0,0,1471,2913,0,0,0,0,0,0,0,0,0,0,6,22,4178,11054,277,..,4453,11054
80111,177,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,185,580,17,..,203,580
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
