SA3_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
80101,0,106,0,13,0,0,124,0,121,0,4,0,0,128,12,772,21,50,9,0,857,28,348,27,98,13,3,521,26,147,19,84,12,0,293,65,154,35,127,50,3,432,217,137,41,255,46,4,705,1920,209,39,721,135,4,3026,2213,52,6,704,101,3,3080,1088,8,4,324,47,0,1466,328,0,0,113,14,0,454,100,3,0,38,5,0,145,31,0,0,12,5,0,44,42,3,3,17,5,0,67,82,139,16,123,28,31,421,6146,2210,212,2686,466,55,11767
80103,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,5,0,7,0,27,0,0,6,6,9,0,25,0,3,0,0,11,0,12,4,0,0,10,5,0,22,5,15,0,0,14,0,40,13,4,0,10,19,0,47,4,0,0,10,4,0,16,6,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,7,0,0,9,41,36,13,44,66,0,200
80104,0,50,0,7,0,0,62,0,52,0,3,0,0,56,6,293,14,17,8,0,341,22,144,24,52,14,0,256,12,62,7,44,14,0,135,51,78,27,66,258,3,475,134,88,71,130,310,0,726,1297,74,86,396,247,0,2102,1930,21,7,434,88,5,2485,1305,8,3,277,77,0,1683,610,0,3,123,37,3,778,152,4,0,49,11,0,218,48,0,0,19,0,0,67,46,0,0,16,0,0,61,81,51,9,67,38,22,276,5686,919,255,1709,1104,38,9713
80105,5,100,5,6,11,0,129,0,81,20,5,0,3,109,7,680,29,35,5,10,759,20,150,25,48,7,0,257,12,89,13,62,5,0,187,52,106,15,103,101,0,382,282,96,29,201,90,3,694,1141,61,23,457,78,6,1766,1910,41,18,466,54,0,2481,1329,13,11,361,33,0,1740,708,3,3,185,16,0,912,299,0,0,107,13,0,416,146,0,0,32,5,0,185,177,0,0,58,0,0,234,59,71,6,64,31,21,253,6146,1494,193,2188,452,49,10517
80106,4,23,0,4,0,0,32,0,32,4,3,0,0,39,0,229,6,11,0,0,241,6,67,31,8,4,0,113,5,33,15,18,0,0,72,21,28,5,20,30,0,110,86,37,7,48,14,0,193,511,26,3,168,23,3,731,1122,16,10,241,24,0,1414,710,6,0,142,13,0,878,364,4,0,65,3,0,435,174,0,0,50,0,0,219,98,0,0,13,3,0,115,196,0,0,38,0,0,232,39,22,7,35,14,5,122,3337,526,83,852,128,16,4949
80107,0,74,0,3,0,0,84,0,98,0,3,0,0,95,5,676,21,21,6,0,729,13,280,30,36,7,0,371,11,174,13,40,0,0,237,23,176,14,54,22,0,277,41,138,19,111,35,0,348,740,193,11,478,48,3,1464,1191,61,0,461,37,0,1762,582,6,0,184,12,4,791,180,0,0,42,4,0,228,58,0,0,12,0,0,71,19,0,0,5,0,0,28,16,0,0,0,0,0,17,58,105,16,72,15,16,281,2938,1976,124,1526,198,20,6788
80108,0,23,0,4,0,0,25,0,34,3,0,0,0,34,0,229,5,10,0,0,251,3,84,15,5,0,5,119,0,41,0,10,4,0,53,18,53,3,10,17,0,105,53,31,4,39,13,0,139,124,34,9,73,22,0,261,257,21,6,84,8,4,381,214,4,0,59,8,0,286,70,0,0,22,8,0,98,41,4,0,10,0,0,55,5,0,0,0,0,0,8,9,0,0,3,0,0,16,18,37,0,14,6,3,82,813,591,51,347,92,11,1903
80109,6,28,0,7,0,0,38,0,30,14,5,0,0,50,7,263,12,17,4,0,304,12,94,4,27,0,0,148,8,36,0,31,0,0,75,40,35,0,53,17,0,153,276,44,9,100,17,3,444,785,31,12,241,47,0,1109,732,27,4,226,25,0,1012,514,4,0,124,14,0,659,223,3,4,54,8,0,290,108,0,0,27,0,0,135,59,5,0,6,0,0,72,62,0,0,11,0,0,76,44,40,0,37,18,9,147,2868,646,67,969,149,18,4718
80110,0,17,0,0,0,0,17,0,23,0,0,0,0,23,0,54,0,0,0,0,57,0,19,0,5,0,0,22,0,9,0,3,0,0,13,12,12,0,16,6,0,43,7,9,0,15,9,0,37,158,18,3,33,14,0,229,230,0,0,43,10,0,288,145,0,0,29,4,0,182,54,3,0,16,0,0,74,26,0,0,6,0,0,30,10,0,0,6,0,0,13,15,0,0,5,0,0,20,3,9,0,7,7,5,32,655,167,10,190,62,3,1083
80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,7,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,7,0,15,17,0,42
