SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL80001,0,0,0,3,0,7,0,7
SAL80002,0,0,6,3,5,13,0,13
SAL80003,0,0,0,0,0,0,0,0
SAL80004,0,0,0,0,4,0,0,0
SAL80005,0,0,0,0,0,0,0,0
SAL80006,0,0,3,0,0,3,0,3
SAL80007,0,0,0,0,0,0,0,0
SAL80008,0,0,0,0,0,5,0,5
SAL80009,0,0,0,0,3,5,0,5
SAL80010,0,5,4,3,7,18,0,18
SAL80011,0,0,0,0,0,0,0,0
SAL80012,0,0,7,5,9,28,0,28
SAL80013,0,0,0,0,0,0,0,0
SAL80014,0,9,7,0,0,14,0,15
SAL80015,0,8,3,4,0,16,0,16
SAL80016,0,0,3,0,0,3,0,3
SAL80017,0,0,0,0,0,0,0,0
SAL80018,195,842,654,205,101,2000,18,2018
SAL80019,50,611,915,277,168,2024,16,2039
SAL80020,24,307,405,103,44,892,8,897
SAL80021,30,514,743,290,181,1761,11,1772
SAL80022,49,609,238,23,10,935,7,943
SAL80023,0,0,0,0,0,0,0,0
SAL80024,565,2437,883,99,25,4013,32,4042
SAL80025,37,570,1034,316,146,2106,14,2116
SAL80026,58,525,554,187,102,1425,15,1443
SAL80027,582,1980,647,98,35,3347,35,3380
SAL80028,125,1266,961,201,93,2649,34,2679
SAL80029,44,564,853,358,178,2003,13,2018
SAL80030,112,885,704,199,77,1974,6,1981
SAL80031,0,14,20,5,4,44,0,44
SAL80032,0,0,0,0,0,0,0,0
SAL80033,42,694,1065,268,109,2177,25,2202
SAL80034,29,260,462,175,102,1018,8,1023
SAL80035,64,452,442,132,65,1155,14,1167
SAL80036,64,454,376,115,58,1058,6,1059
SAL80037,65,511,799,305,168,1850,14,1862
SAL80038,417,1057,274,29,0,1779,17,1796
SAL80039,54,458,740,293,186,1732,16,1753
SAL80040,56,561,465,95,44,1225,11,1237
SAL80041,41,678,767,173,55,1707,19,1725
SAL80042,38,565,840,148,75,1668,16,1686
SAL80043,104,702,874,223,111,2013,13,2023
SAL80044,81,439,496,124,58,1202,12,1209
SAL80045,17,338,493,92,32,969,3,975
SAL80046,156,743,392,99,29,1426,14,1431
SAL80047,110,681,575,177,60,1608,20,1626
SAL80048,41,391,531,161,89,1219,11,1231
SAL80049,40,696,1139,350,194,2415,10,2424
SAL80050,45,591,870,296,148,1951,15,1964
SAL80051,9,227,511,192,95,1038,4,1039
SAL80052,58,465,529,190,102,1343,22,1368
SAL80053,68,472,481,105,81,1201,13,1213
SAL80054,125,679,694,217,96,1817,20,1835
SAL80055,15,315,539,215,120,1205,13,1214
SAL80056,15,343,700,206,93,1360,14,1373
SAL80057,32,320,296,78,56,788,3,786
SAL80058,134,1061,1024,248,103,2574,37,2609
SAL80059,8,186,330,131,77,725,3,730
SAL80060,0,7,6,0,0,11,0,11
SAL80061,64,469,509,130,73,1245,6,1257
SAL80062,12,253,398,177,102,940,10,948
SAL80063,29,382,519,170,87,1184,11,1196
SAL80064,102,929,1167,398,248,2845,25,2874
SAL80065,34,257,539,196,75,1096,9,1106
SAL80066,180,1200,565,84,32,2064,30,2088
SAL80067,179,1139,750,178,66,2303,19,2319
SAL80068,237,1496,1069,255,124,3184,41,3219
SAL80069,75,507,424,125,44,1175,7,1181
SAL80070,0,19,43,27,15,105,0,105
SAL80071,105,1026,1207,269,131,2739,31,2768
SAL80072,62,438,449,130,90,1170,13,1181
SAL80073,52,430,529,154,71,1231,12,1236
SAL80074,41,416,461,103,56,1085,7,1092
SAL80075,151,947,818,223,110,2259,28,2289
SAL80076,69,434,456,115,49,1127,6,1131
SAL80077,0,0,0,5,0,7,0,7
SAL80078,27,281,412,127,55,906,5,915
SAL80079,61,542,636,238,125,1597,12,1613
SAL80080,10,92,113,16,6,233,5,237
SAL80081,124,843,1091,380,214,2645,32,2677
SAL80082,225,1935,2404,796,429,5789,59,5852
SAL80083,208,2060,874,107,31,3276,16,3293
SAL80084,57,481,569,175,103,1389,17,1401
SAL80085,31,362,413,120,50,974,10,990
SAL80086,283,1296,682,153,73,2489,20,2514
SAL80087,150,630,404,108,43,1333,11,1342
SAL80088,7,104,248,91,32,486,0,488
SAL80089,64,799,1150,324,141,2482,17,2502
SAL80090,0,0,0,0,0,0,0,0
SAL80091,104,590,395,122,48,1253,7,1260
SAL80092,87,603,494,107,68,1359,18,1375
SAL80093,29,280,413,141,94,961,7,963
SAL80094,43,394,501,174,79,1187,8,1198
SAL80095,0,0,0,0,0,4,0,4
SAL80096,0,0,0,0,0,0,0,0
SAL80097,127,742,833,263,148,2103,15,2122
SAL80098,39,440,853,186,75,1586,18,1604
SAL80099,169,1061,903,219,70,2423,25,2446
SAL80100,114,1562,1673,439,241,4027,26,4053
SAL80101,38,568,1009,390,254,2260,13,2276
SAL80102,190,938,765,237,107,2234,17,2253
SAL80103,4,59,121,60,60,306,6,318
SAL80104,20,50,34,6,15,138,5,141
SAL80105,15,190,248,105,45,600,0,606
SAL80106,102,552,358,107,44,1166,14,1180
SAL80107,89,753,812,236,123,2014,16,2038
SAL80108,0,0,0,0,0,0,0,0
SAL80109,53,422,368,124,78,1047,13,1055
SAL80110,254,1610,631,76,15,2592,30,2623
SAL80111,0,9,14,3,8,38,0,38
SAL80112,41,273,460,135,96,998,14,1011
SAL80113,135,321,155,54,30,687,6,697
SAL80114,45,353,432,177,88,1096,14,1108
SAL80115,71,477,524,140,63,1274,11,1278
SAL80116,0,0,0,0,0,0,0,0
SAL80117,62,490,429,103,63,1141,7,1147
SAL80118,37,268,420,124,70,920,13,926
SAL80119,36,264,309,100,52,758,6,770
SAL80120,0,85,114,23,10,241,0,239
SAL80121,31,151,62,11,5,253,7,262
SAL80122,18,175,310,77,36,624,11,629
SAL80123,0,10,8,8,7,31,0,31
SAL80124,37,360,558,220,135,1308,12,1320
SAL80125,8,181,394,82,43,710,3,713
SAL80126,35,286,351,110,64,845,11,858
SAL80127,303,1184,492,108,27,2113,20,2138
SAL80128,0,15,44,21,13,93,0,92
SAL80129,122,910,1238,396,204,2875,19,2897
SAL80130,79,394,437,106,48,1060,11,1073
SAL80131,140,1211,1007,188,90,2633,21,2658
SAL80132,14,264,411,140,96,921,6,930
SAL80133,72,586,581,147,71,1459,7,1469
SAL80134,0,0,0,0,0,0,0,0
SAL80135,26,620,672,119,34,1466,8,1481
SAL80136,45,461,537,116,70,1231,8,1233
SAL89494,0,0,0,0,0,0,0,0
SAL89797,0,0,0,0,0,0,0,0
